,ast_celltype,mic_celltype
TSPO,-2.7517921924591064,2.7517921924591064
CD16,-3.6273622512817383,3.6273622512817383
MMP12,-2.7517921924591064,2.7517921924591064
CD115,1.1257331371307373,-1.1257331371307373
ARG1,-2.6267106533050537,2.6267106533050537
FCRLS,-2.7517921924591064,2.7517921924591064
CD80,0.3752443790435791,-0.3752443790435791
CD11B,-3.6273622512817383,3.6273622512817383
SLC2A5,-2.6267106533050537,2.6267106533050537
MMP9,-2.7517921924591064,2.7517921924591064
FCER1G,0.5003258585929871,-0.5003258585929871
CD45,-3.6273622512817383,3.6273622512817383
FIZZ1,-2.7517921924591064,2.7517921924591064
TMEM119,0.5003258585929871,-0.5003258585929871
CD68,0.25016292929649353,-0.25016292929649353
CD14,-3.6273622512817383,3.6273622512817383
CX3CR1,0.5003258585929871,-0.5003258585929871
P2Y12,-2.6267106533050537,2.6267106533050537
APOE4,-2.7517921924591064,2.7517921924591064
CD40,-3.6273622512817383,3.6273622512817383
